customer_name,review,review_date
"Jayakara Kini,boriesh,Mobeen Syed,PQRS PEN,Amit (Tony),kutty,SHERWIN. S.M.S,Shuaib,Sumaiya,Debkumar,pravin jalindar waykar,Amazon Customer","Great speed, only downside is that no activity led on the device.,Nice,Good product,Okay,Nice,Nice product,It is not good I want to return plz it's is 8 gb pendrive,Good storage at economic price,Pendrive quality is superb. Deta transferring speed is awesome.,Amazon service is so nice. Timely delivery,I ordered  64 gb pendrive but this one 65 gb .... Tottaly good product...","Reviewed in India on 26 November 2018,Reviewed in India on 17 April 2019,Reviewed in India on 30 December 2017,Reviewed in India on 9 May 2019,Reviewed in India on 2 March 2020,Reviewed in India on 18 October 2019,Reviewed in India on 19 August 2019,Reviewed in India on 6 May 2019,Reviewed in India on 18 February 2021,Reviewed in India on 13 January 2019,Reviewed in India on 22 November 2016,Reviewed in India on 25 February 2021"
"Jayakara Kini,boriesh,shivakumar d m,Uttam singh,Roshan,Narendra V Itgi,Prasanna,Siva,Valsan P K,Anwar Parvez,Gopi,MANISH LAKRA","Good product,Good One,Ok,Good one,Value for money,Good,Good,Good at this price but quality could have been better. Its all plastic.,good quality,Good product","Reviewed in India on 26 November 2018,Reviewed in India on 17 April 2019,Reviewed in India on 1 March 2020,Reviewed in India on 10 May 2019,Reviewed in India on 2 June 2019,Reviewed in India on 22 May 2021,Reviewed in India on 9 October 2019,Reviewed in India on 10 October 2019,Reviewed in India on 20 September 2019,Reviewed in India on 17 September 2017,Reviewed in India on 27 February 2019,Reviewed in India on 6 June 2020"
"Jayakara Kini,boriesh,Tapati,Sanket Devikant Shiwankar,Amazon Customer,DASHARATH SINGH CHAMPAWAT,NRESH S.,Surendar,Shiva,Khashti Shri,Vajjarapu Harsha,Harendra Singh negi","It not even worth 1 star.. within à month it stopped working. Didn't recognized by phone or computer. It's a duplicate one. Please stop fooling us,Damm good Than Samsung's pendrive.,Quality is also good and Value for money,Ok,Given as 32 GB but pendrive having capacity of 29.5 GB.Otherwise product is good,Ok,Bought this quality product for my mother. Found it to be sturdy and quick while transferring files considering its cost.,It is surely a Great Value for Money product from SanDisk,Ok,Ok,Dead slow :/,I mean literally.. The copying bar raises and drops like a sine curve. Take more time to copy than usual time.,You 'll loose patience when u in an urgency and u need to copy something.,It worked for 5-6 days then stopped working....showing all the files broken icon.","Reviewed in India on 26 November 2018,Reviewed in India on 17 April 2019,Reviewed in India on 14 June 2018,Reviewed in India on 26 September 2019,Reviewed in India on 31 January 2020,Reviewed in India on 15 December 2018,Reviewed in India on 8 January 2022,Reviewed in India on 4 April 2015,Reviewed in India on 22 October 2021,Reviewed in India on 9 July 2021,Reviewed in India on 28 November 2015,Reviewed in India on 31 January 2022"
"Jayakara Kini,boriesh,gagan Dadra,Yuktha jagdeesh,Santosh T.,Santosh T.,ARSHAD S.,Ayushi,Indira K,K.Mallikarjun,Anurag G.,Amazon Customer,Soutam Saha","This pendrive is very cheap I happy to bought this item at lower price,This worked for exatly ten days,Upto which replacement is covered,Very dissappointed with such type of product from Amazon,You can buy its very usable and also is very cheap during offers season,I got in 510 and its 64 gb so, great offer is here,Its not working after just 2 to 3 months of use. No way to contace sandisk and claim warranty,Best pendrive in this price,very good product, value for money,Good,Great product superfast delivery👌,it's just amazing  but only thing is we get storage capacity of 29 GB,Was working fine after i got the product. But within 5months its not working. Absolutely not value for money. Please dont buy it","Reviewed in India on 26 November 2018,Reviewed in India on 17 April 2019,Reviewed in India on 10 April 2018,Reviewed in India on 17 August 2019,Reviewed in India on 27 October 2020,Reviewed in India on 22 July 2020,Reviewed in India on 20 December 2020,Reviewed in India on 5 January 2021,Reviewed in India on 24 January 2020,Reviewed in India on 7 March 2020,Reviewed in India on 17 December 2019,Reviewed in India on 16 November 2019"
"Jayakara Kini,boriesh,Atmanand N,Somesh kumar,anil,Kiran pandapanigrahi,Sam-oJ,Shyam Senthil Nathan,Angsuman Chakraborty,anubhav singh swarn,SUBBARAO MANDAVA,KB","Good,Its fake product on online purchase have so many sandisk devices but this one having heating problem. Third class product.,whats left to say about an excellent product! but yes, i would like to compliment amazon on its excellent and prompt service! kudos!!!!,Good,The PEN drive was dam awesome best in quality and also classic one package was neat worth the money sure shot buy.,Sandisk flash drives are some of the best. This particular model is no exception. Best price and the best drive you can get for this prize. Satisfied in every way.,Was damaged very quickly. SanDisk support claims it is NOT genuine. Refuses to replace it!,Speed Kam h kyunki usb 2.0 h usb 3 Ni r plastic pendrive break Hoti h bahut Baar pen drive use home pr,Very poor quality.,Good","Reviewed in India on 26 November 2018,Reviewed in India on 17 April 2019,Reviewed in India on 8 May 2019,Reviewed in India on 25 December 2018,Reviewed in India on 16 October 2014,Reviewed in India on 12 May 2019,Reviewed in India on 11 January 2016,Reviewed in India on 16 May 2014,Reviewed in India on 24 February 2017,Reviewed in India on 18 July 2018,Reviewed in India on 14 August 2019,Reviewed in India on 12 July 2019"
"Jayakara Kini,boriesh,Chhotu,Samson Praneeth,T. Dinesh,Ravichandran K,Manoj Kangarkar,rakesh ,Nikhlesh Katariya,Awadhesh Manjhi,SHARATH,Bari","Original,Good product and never had a problem with it.. Highly recommend it if u want a 16GB USB Pendrive.,Useful,Ok,Material is very good.  And faster than other pen drives.,nice work well but quality is ok,Value for money product. Very good product and is working absolutely fine.  Seller is good. Received delivery in time.,Very good product...,It's a decent product not that great though. Kudos to Amazon for the fast delivery.,pros: Its small and compact.,cons: Transfer speed is pretty less.,I would highly recommend USB 3.0 interface.,SanDisk memory cards are always top class... the front plastic is a bit fragile specially while unplugging. Apart from that its one of the best.","Reviewed in India on 26 November 2018,Reviewed in India on 17 April 2019,Reviewed in India on 30 October 2020,Reviewed in India on 17 August 2016,Reviewed in India on 12 March 2020,Reviewed in India on 14 July 2020,Reviewed in India on 18 November 2018,Reviewed in India on 1 September 2018,Reviewed in India on 30 October 2015,Reviewed in India on 20 August 2020,Reviewed in India on 22 June 2015,Reviewed in India on 11 April 2014"
"Jayakara Kini,boriesh,True Opinion,darshan,DM,Mahammad Abdaal Khan,Gopal Rawat,Avinash,Ankush,Sailendra,Vikramaditya vst Budamagunta,ravi roushan","As mentioned,Use 6 months and suddenly corrupt I need a backup so anybody help me?,The product delivered in time, performance is good till now.,only problem is plastic used as outer body is delicate, I feel it may break even if little mishandling is done..,Good product with low coust,fast service and proper paper work,options and deals are best as  compared to other similar  sites,loooking forward to more such deals,Unlike Hp 32 gb pendrive, it has only 29gb space whereas former has 30gb space.,Also, it is as light as feather,32gb pendrive is enough to store many stuff. And speed and all is also good. And using it from long time. Quite durable. And also SanDisk is a renowned brand.,👍👍🏻👍🏻👍🏻👍🏻,I disaPointed with the build quality,OK","Reviewed in India on 26 November 2018,Reviewed in India on 17 April 2019,Reviewed in India on 30 May 2019,Reviewed in India on 19 July 2020,Reviewed in India on 28 July 2015,Reviewed in India on 29 January 2021,Reviewed in India on 5 May 2014,Reviewed in India on 22 September 2015,Reviewed in India on 13 July 2018,Reviewed in India on 13 January 2019,Reviewed in India on 21 August 2019,Reviewed in India on 26 October 2020"
"Jayakara Kini,boriesh,Swati Anand Sinha,Sai Sarath Chandra,PHANI BHUSAN choudhuri,Amazon Customer,vidyasagar,Amazon Customer,Rafeeque p k,naniketki,BHASKAR.V,Faizan Danawala","Good Solid Pen Drive. Superior Performance Over Other Brands' Pen Drives.,This is a very common one u can't expect great speeds still it is good i have bought it for installing windows through pen drive have to cautious a bit bcz the drive can't sustain rough handling fully made of plastic. you can't keep it everywhere and can't keep loads of weight on it U have to take care,Good.,Product was original speed a bit slow. But no heating problem and easy to use. long life durability.,As everyone knows this is good one,Better then market,Not bad,Good item with enough space for a homemaker's  private requirements.  Arrived on the dot on 17 April, but not at the preferred address.,I will purchase the product before 2 weeks,but now not working,It is very nice and its value for money","Reviewed in India on 26 November 2018,Reviewed in India on 17 April 2019,Reviewed in India on 29 January 2018,Reviewed in India on 19 April 2014,Reviewed in India on 22 April 2019,Reviewed in India on 27 May 2016,Reviewed in India on 22 October 2018,Reviewed in India on 1 January 2019,Reviewed in India on 23 May 2019,Reviewed in India on 20 April 2015,Reviewed in India on 17 June 2019,Reviewed in India on 26 May 2019"
"Jayakara Kini,boriesh,Sumit.Tiwari,Ajitha.A,Amazon Customer,Rishabh Sharma,Ramshad,Amazon Customer,Anand Sur,PY,Kushal,Arunabha Ray","Good for general Use,Quality Is Excellent,Fast Copy/move Paste,It suddenly got error. So was not able to copy any documents in pendrive,Had a good deal.,What else do you want to know about this product. It is used by nasa.,Spec-,8GB 3d nand memory cells,4.6 GBPS,New product,Ok nice,If you just need a portable storage device at a cheap price then this product is perfectly fine but dont expect it to be the best...the transfer rate is quite slow by the present data transfer rate standards...it is sometimes a bit annoying...,Except that the product is fine.,I have used SanDisk pendrives before. They are reliable and have a long life. Paying Rs.500 for a 16GB SanDisk pendrive was a good bargain on amazon.,Excellent buy. I usually but USB's belonging to any company but are low priced. This one turned out to be the best among all I have bought. Worth more than the price.,Fast.","Reviewed in India on 26 November 2018,Reviewed in India on 17 April 2019,Reviewed in India on 18 March 2021,Reviewed in India on 21 February 2022,Reviewed in India on 23 January 2019,Reviewed in India on 10 June 2017,Reviewed in India on 28 March 2019,Reviewed in India on 15 December 2020,Reviewed in India on 18 June 2014,Reviewed in India on 3 October 2013,Reviewed in India on 27 January 2017,Reviewed in India on 3 November 2019"
"Jayakara Kini,boriesh,Hem Kant,Miki,Vijendra Singh,noni,Daljeet Singh Randhawa ,Sunil S,irish dean,Rana T B,Amazon Customer,George Easaw","Sandisk pendrive is better than others data storage pendrives.. Cost effective and durable. Writing this after 2 year of purchasing.,This particular pen drive has been highly rated for its read and write speed in the USB 2 category. I have a bunch of them that i use for file transfers, operating system installations and playing music in the car.,PRODUCTS quality is good but rider is rude behavior order not delivered at door.,I want to replace it bec lack of actual storage. I paid for 128GB not For 117 Gb,There is not accurate space in it as you said there 128 GB the space is 117 GB .,Good Product.,Good product as expected.but a slow writing speed than my other pendrive of Transcend.,SanDisk pendrives are known for the quality and performance over the world.Amazon has offered this product comparatively at the best lowest price and with a very quick delivery.Product is working nice and meeting my day to day requirements.,I both it few weeks back but after using for for once or twice it is not working now.,I am not able to format it or use it again...,Kindly suggest.,This is the second time I am having this type of experience with Amazon...,Very poor product quality.,Good","Reviewed in India on 26 November 2018,Reviewed in India on 17 April 2019,Reviewed in India on 28 September 2018,Reviewed in India on 7 October 2015,Reviewed in India on 4 January 2022,Reviewed in India on 20 August 2021,Reviewed in India on 3 June 2021,Reviewed in India on 22 August 2021,Reviewed in India on 21 April 2019,Reviewed in India on 14 June 2014,Reviewed in India on 21 December 2016,Reviewed in India on 30 July 2019"
